candidate_id,source_id,page,matched_term,evidence_window
C0001,S01_about_trust,1,preserve,"sion The HBCU Digital Library Trust is building capacity with Historically Black Colleges and Universities to digitally preserve and provide global access to their archival collections, sustain institutional, cultural, and community memory, and ensure stories are discovered, maintained, remembered and told. Vision With trust at the forefront, we acknowledge and celebrate the undeniable lived experiences and legacy of"
C0002,S01_about_trust,2,digitization,Andrea Jackson Gavin Program Director HBCU Digital Library Trust Read More Kendall Barksdale Project Manager Digitization Hub at AUC Woodruff Library Read More Summer Redding Digital Imaging Librarian Digitization Hub at AUC Woodruff Library Read More The Team Michelle Jacobs-Porter Program Coordinator HBCU Digital Library Trust Read More Sasha Jelan Traveling Archivist Digitization Hub at AUC Woodruff Lib
C0003,S01_about_trust,3,access,"d for research, new scholarship, teaching and learning.* With a shared goal to deepen capacity and advance open, public access to African American archives and special collections, the HBCU Library Alliance and Harvard Library began partnering in 2023. With funds provided by the Harvard & the Legacy of Slavery Initiative, they developed the HBCU Digital Library Trust to expand existing services and business models to"
C0004,S01_about_trust,4,rights,"ry Trust c/o AUC Woodruff Library 111 James P. Brawley Dr, SW Atlanta, GA 30314 © 2024 HBCU Digital Library Trust | All rights reserved. | Designed by Graphics In Atlanta 6/14/26, 3:57 PM ABOUT US | HBCU Digital Trust https://www.thehbcutrust.org/about-us 4/4"
C0005,S02_partnerships,1,preserve,"rary Trust project. We recognize the immense value of collaboration in achieving our mission to digitize, discover, and preserve African American history collections. These partnerships are instrumental in amplifying our impact and advancing open access to these invaluable resources. Our Key Collaborators and Allies Our project thrives on the support, contributions and expertise of key organizations. Here are the org"
C0006,S02_partnerships,2,digitization,"f higher education that comprise the world’s largest consortium of HBCUs. They serve as the Digital Repository Host and Digitization Hub for the HBCU Digital Library Trust. LEARN MORE HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS SERVICES & RES HBCU DIGITAL COLLECTION 6/14/26, 4:00 PM PARTNERSHIPS | HBCU Digital Trust https://www.thehbcutrust.org/partnerships 2/5"
C0007,S02_partnerships,3,partnership,"HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS SERVICES & RES HBCU DIGITAL COLLECTION 6/14/26, 4:00 PM PARTNERSHIPS | HBCU Digital Trust https://www.thehbcutrust.org/partnerships 3/5"
C0008,S02_partnerships,4,partnership,"HOME ABOUT THE TRUST PARTNERSHIPS NEWS & EVENTS SERVICES & RES HBCU DIGITAL COLLECTION 6/14/26, 4:00 PM PARTNERSHIPS | HBCU Digital Trust https://www.thehbcutrust.org/partnerships 4/5"
C0009,S02_partnerships,5,rights,"ry Trust c/o AUC Woodruff Library 111 James P. Brawley Dr, SW Atlanta, GA 30314 © 2024 HBCU Digital Library Trust | All rights reserved. | Designed by Graphics In Atlanta 6/14/26, 4:00 PM PARTNERSHIPS | HBCU Digital Trust https://www.thehbcutrust.org/partnerships 5/5"
C0010,S03_metadata_libguide,1,metadata,Library / LibGuides / HBCU Digital Library Trust- Guide for Contributors / Metadata Guide HBCU Digital Library Trust- Guide for Contributors: Metadata Guide This guide provides an overview and information for HBCU Digital Library Trust project contributors. Project Overview Scanning Hub Team Digitization Process Metadata Guide Shipping and Packing Collection Use Statistics
C0011,S03_metadata_libguide,2,metadata,", etc.] Teachers colleges Theatre and dance Women's colleges Women's rights Women--Societies and clubs 6/14/26, 4:02 PM Metadata Guide - HBCU Digital Library Trust- Guide for Contributors - LibGuides at Atlanta University Center - Robert W. Woodruff Library https://research.auctr.edu/c.php?g=1451206&p=10786542 2/6"
C0012,S03_metadata_libguide,3,metadata,"lege. The building was designed by Charles C. Hartmann, one of Greensboro's most prominent architects. 6/14/26, 4:02 PM Metadata Guide - HBCU Digital Library Trust- Guide for Contributors - LibGuides at Atlanta University Center - Robert W. Woodruff Library https://research.auctr.edu/c.php?g=1451206&p=10786542 3/6"
C0013,S03_metadata_libguide,4,access,"edu/HBCU-DLT  Print Page Login to LibApps Subjects: Archives Research Center & Exhibits, Scholarly Communication, Open Access and Open Education Resources Exterior of Bibb Graves Hall with students gathering outside on benches. Written on verso: Bib Graves Hall was built in 1928 as the dormitory for women on the Montgomery campus. DC.Subject: searchable, public/staff field REPEATABLE Subjects A repeatable field with"
C0014,S03_metadata_libguide,5,access,"rmat The format of the image or digital file, expressed in the MIME format following type/subtype convention. Enter the access copy MIME Type as it is displayed. Mozilla gives a nicer truncated list. These will be the common formats, but note that there may be other subtypes used dependent on the format. EXAMPLES: Most used type vocabulary: image/jpeg [an access photo jpeg file] application/pdf [an access pdf file] t"
C0015,S03_metadata_libguide,6,metadata,"right, fees, and other legal restrictions. For more information, please contact davis.room@morgan.edu. 6/14/26, 4:02 PM Metadata Guide - HBCU Digital Library Trust- Guide for Contributors - LibGuides at Atlanta University Center - Robert W. Woodruff Library https://research.auctr.edu/c.php?g=1451206&p=10786542 6/6"
C0016,S04_metadata_pdf,1,metadata,"HBCU DIGITAL LIBRARY TRUST METADATA GUIDE FOR DIGITAL COLLECTIONS Dublin Core ContentDM Field Description DC.Title: searchable, public/staff field; required field Title Title is a concise sentence which will be used to label the object; it may also be the first line of the descriptive information. Use existing titles when ava"
C0017,S04_metadata_pdf,2,metadata,"HBCU DIGITAL LIBRARY TRUST METADATA GUIDE FOR DIGITAL COLLECTIONS DC.Date: Searchable, public/staff field; required field Date.Original The date, or publication date, refers to the date the original was created, not the scan. This field is machine- readable and needs to be entered in YYYY, YYYY-MM, or YYYY-MM-DD format. If th"
